# written,2026-08-13 16:17
# pairing,best
# photon_predictions,hybrid_cnn_mlp_photon.pkl
# pfo_level_threshold,0.5700
# pfo_level_purity,60.76
# pfo_level_efficiency,83.90
# mass_cut_MeV,225
# phi_cut_deg,60
# n_true_pi0,10703
# n_events,38082
# n_pfos,126817
threshold,TP,FP,FN,purity,efficiency,pxe,ev_eq2,ev_ge3
0.05,1476,13665,5286,9.74837,21.8279,2.12786,8744,23424
0.075,1544,11226,5701,12.0908,21.3112,2.57671,9423,20259
0.1,1613,9179,6118,14.9463,20.8641,3.11839,9695,17762
0.125,1688,7310,6530,18.7597,20.5403,3.8533,9955,15394
0.15,1748,5867,6862,22.9547,20.302,4.66026,9970,13341
0.175,1784,4867,7106,26.823,20.0675,5.38271,9764,11784
0.2,1824,4100,7299,30.79,19.9934,6.15598,9360,10543
0.225,1838,3506,7442,34.3937,19.806,6.81203,9102,9478
0.25,1850,3054,7588,37.7243,19.6016,7.39457,8743,8698
0.275,1868,2714,7696,40.7682,19.5316,7.96268,8414,8025
0.3,1873,2431,7792,43.5177,19.3792,8.43338,8141,7421
0.325,1879,2200,7887,46.0652,19.2402,8.86305,7801,6923
0.35,1880,2028,7961,48.1064,19.1037,9.19014,7490,6442
0.375,1880,1857,8023,50.3077,18.9841,9.55049,7131,6028
0.4,1873,1698,8094,52.4503,18.792,9.85647,6815,5578
0.425,1866,1589,8141,54.0087,18.6469,10.071,6473,5119
0.45,1845,1487,8199,55.3721,18.3692,10.1714,6096,4628
0.475,1834,1404,8239,56.6399,18.2071,10.3125,5718,4021
0.5,1816,1302,8297,58.2425,17.9571,10.4586,5427,3601
0.525,1783,1202,8381,59.732,17.5423,10.4784,5171,3232
0.55,1742,1112,8461,61.0371,17.0734,10.4211,4909,2861
0.575,1687,1001,8566,62.7604,16.4537,10.3264,4606,2479
0.6,1614,901,8689,64.175,15.6653,10.0532,4297,2022
0.625,1479,771,8874,65.7333,14.2857,9.39048,3797,1504
0.65,1291,617,9139,67.6625,12.3778,8.3751,3156,924
0.675,928,408,9603,69.4611,8.81208,6.12096,2167,428
0.7,467,173,10168,72.9688,4.39116,3.20418,1086,103
0.725,106,29,10586,78.5185,0.991395,0.778429,263,8
0.75,3,2,10699,60,0.0280321,0.0168193,13,0
0.775,0,0,10703,0,0,0,0,0
0.8,0,0,10703,0,0,0,0,0
0.825,0,0,10703,0,0,0,0,0
0.85,0,0,10703,0,0,0,0,0
0.875,0,0,10703,0,0,0,0,0
0.9,0,0,10703,0,0,0,0,0
0.925,0,0,10703,0,0,0,0,0
0.95,0,0,10703,0,0,0,0,0
cut_baseline,868,396,9656,68.6709,8.24781,5.66385,2229,421
