# written,2026-08-13 16:17
# pairing,exact
# photon_predictions,hybrid_cnn_mlp_photon.pkl
# pfo_level_threshold,0.5700
# pfo_level_purity,60.76
# pfo_level_efficiency,83.90
# mass_cut_MeV,225
# phi_cut_deg,60
# n_true_pi0,10703
# n_events,38082
# n_pfos,126817
threshold,TP,FP,FN,purity,efficiency,pxe,ev_eq2,ev_ge3
0.05,136,1272,10423,9.65909,1.288,0.124409,8744,23424
0.075,181,1264,10357,12.526,1.71759,0.215145,9423,20259
0.1,221,1190,10310,15.6627,2.09857,0.328691,9695,17762
0.125,279,1131,10242,19.7872,2.65184,0.524726,9955,15394
0.15,340,1043,10182,24.5842,3.23132,0.794397,9970,13341
0.175,386,970,10138,28.4661,3.66781,1.04408,9764,11784
0.2,441,857,10082,33.9753,4.19082,1.42385,9360,10543
0.225,484,775,10035,38.4432,4.6012,1.76885,9102,9478
0.25,530,704,10004,42.9498,5.03133,2.16094,8743,8698
0.275,564,649,9977,46.4963,5.35054,2.4878,8414,8025
0.3,601,598,9950,50.1251,5.69614,2.8552,8141,7421
0.325,635,558,9923,53.2272,6.0144,3.20129,7801,6923
0.35,673,541,9889,55.4366,6.3719,3.53236,7490,6442
0.375,701,512,9864,57.7906,6.63512,3.83447,7131,6028
0.4,739,486,9831,60.3265,6.99149,4.21772,6815,5578
0.425,771,481,9801,61.5815,7.29285,4.49104,6473,5119
0.45,802,477,9774,62.7052,7.58321,4.75507,6096,4628
0.475,873,501,9691,63.5371,8.26392,5.25065,5718,4021
0.5,909,489,9653,65.0215,8.60632,5.59596,5427,3601
0.525,940,466,9631,66.8563,8.89225,5.94503,5171,3232
0.55,944,457,9630,67.3804,8.92756,6.01543,4909,2861
0.575,956,431,9626,68.9257,9.03421,6.2269,4606,2479
0.6,970,408,9620,70.3919,9.15958,6.4476,4297,2022
0.625,970,382,9620,71.7456,9.15958,6.5716,3797,1504
0.65,950,358,9643,72.63,8.96819,6.51359,3156,924
0.675,751,276,9869,73.1256,7.07156,5.17112,2167,428
0.7,424,140,10236,75.1773,3.97749,2.99017,1086,103
0.725,103,27,10590,79.2308,0.963247,0.763188,263,8
0.75,3,2,10699,60,0.0280321,0.0168193,13,0
0.775,0,0,10703,0,0,0,0,0
0.8,0,0,10703,0,0,0,0,0
0.825,0,0,10703,0,0,0,0,0
0.85,0,0,10703,0,0,0,0,0
0.875,0,0,10703,0,0,0,0,0
0.9,0,0,10703,0,0,0,0,0
0.925,0,0,10703,0,0,0,0,0
0.95,0,0,10703,0,0,0,0,0
cut_baseline,683,281,9917,70.8506,6.4434,4.56519,2229,421
